disease_ID	DIS_ID	disease_name	ICD9	ICD10
146	DIS00146	Cardiovascular Disorders (CVD)	390-459	I00-I99
147	DIS00147	Carpal tunnel syndrome	354	G56.0
148	DIS00148	Cell Carcinoma	157.4	C25.4
149	DIS00149	Central and peripheral nervous system diseases	320-389	G00-G99
150	DIS00150	Central nervous system diseases	294.1, 307.23, 314.00, 314.01, 320-322, 323, 331.0, 332, 333.4, 340, 344.1, 344.81, 348.0	A83-A86, B94.1, F02.2, F02.3, F90, F95.2, G00-G37, G83.5, G93.0
151	DIS00151	Central nervous system injury		
152	DIS00152	Cerebral circulatory disorders		
153	DIS00153	Cerebral edema	348.5	G93.6
154	DIS00154	Cerebral Infarction		
155	DIS00155	Cerebral ischemia	459.89	I99.8
156	DIS00156	Cerebral oxidative damage		
157	DIS00157	Cerebral vasospasm	443.9	I73.9
158	DIS00158	Cervical cancer	180	C53
159	DIS00159	Chagas' disease	86	B57
160	DIS00160	Chemotherapy-induced nausea and vomiting	787, 787.0	R11
161	DIS00161	Chemotherapy-induced thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
162	DIS00162	Childhood seizure disorders	345	G40
163	DIS00163	Cholestasis	576.2	K83.1
164	DIS00164	Chondrosarcoma	170.9	C41.9
165	DIS00165	Chronic airway inflammation	460-519	J00-J99
166	DIS00166	Chronic angina pectoris	413	I20
167	DIS00167	Chronic arthritis	710-719	M00-M25
168	DIS00168	Chronic bronchitis	491	J42
169	DIS00169	Chronic experimental allergic encephalomyelitis	204.0, 995.3	C91.0, T78.4
170	DIS00170	Chronic graft-versus-host disease	279.5	T86.0
171	DIS00171	Chronic heart failure	428	I50
172	DIS00172	Chronic hepatitis C	070.4, 070.5, 070.70	B17.1, B18.2
173	DIS00173	Chronic ileitis	555-558	K50-K52
